elapsed_s,x_rel_m,y_rel_m,x_explored_m,y_explored_m
18.24,0.0000,0.0000,0.0000,0.0000
22.14,-0.0040,-0.0001,-0.0040,-0.0001
23.24,-0.0190,-0.0014,-0.0190,-0.0014
24.34,-0.0337,-0.0045,-0.0337,-0.0045
25.37,-0.0475,-0.0103,-0.0475,-0.0103
26.44,-0.0639,-0.0217,-0.0639,-0.0217
27.54,-0.0736,-0.0331,-0.0736,-0.0331
28.78,-0.0801,-0.0436,-0.0801,-0.0436
29.44,-0.1057,-0.1200,-0.1057,-0.1200
29.87,0.4834,0.2018,0.4834,0.2018
30.44,0.4694,0.1397,0.4694,0.1397
31.14,0.5870,0.3741,0.5870,0.3741
31.75,0.5852,0.3064,0.5852,0.3064
32.15,0.5959,0.3653,0.5959,0.3653
32.56,0.6261,0.5112,0.6261,0.5112
33.44,0.6242,0.5649,0.6242,0.5649
34.44,0.6240,0.5648,0.6240,0.5648
35.54,0.6052,0.5810,0.6052,0.5810
36.65,0.6197,0.5681,0.6197,0.5681
37.24,0.6639,0.5284,0.6639,0.5284
38.36,0.6933,0.5026,0.6933,0.5026
39.14,0.6641,0.6097,0.6641,0.6097
39.74,0.6958,0.5504,0.6958,0.5504
40.84,0.6967,0.5502,0.6967,0.5502
41.85,0.7108,0.5346,0.7108,0.5346
42.84,0.7536,0.4877,0.7536,0.4877
43.44,0.7922,0.4480,0.7922,0.4480
